No.;Time;signal strength;Source;Destination;Info;Length;;;S1D1;S2D1
6570;342.931.119.144;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=498/61953, ttl=64;161;;192.168.1.109;-56 dBm;-50 dBm
6571;342.931.151.272;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=498/61953, ttl=64;161;;192.168.1.109;-55 dBm;-77 dBm
6572;343.229.625.524;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=620/27650, ttl=64 (no response found!);161;192.168.1.105;;-54 dBm;-77 dBm
6573;343.329.035.738;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=620/27650, ttl=64 (reply in 6574);161;192.168.1.105;;-57 dBm;-78 dBm
6574;343.336.561.686;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=620/27650, ttl=64 (request in 6573);172;192.168.1.105;;-52 dBm;-77 dBm
6575;343.338.538.803;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=620/27650, ttl=64;161;192.168.1.105;;-51 dBm;-76 dBm
6586;343.867.167.680;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=499/62209, ttl=64 (reply in 6587);161;;192.168.1.109;-52 dBm;-75 dBm
6587;343.869.297.772;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=499/62209, ttl=64 (request in 6586);172;;192.168.1.109;-51 dBm;-76 dBm
6588;343.870.838.388;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=499/62209, ttl=64;161;;192.168.1.109;-50 dBm;-73 dBm
6597;344.231.563.034;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=621/27906, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-50 dBm
6598;344.234.416.412;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=621/27906, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-50 dBm
6599;344.234.447.372;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=621/27906, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-50 dBm
6600;344.234.468.356;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=621/27906, ttl=64 (no response found!);161;192.168.1.105;;-77 dBm;-51 dBm
6601;344.234.484.747;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=621/27906, ttl=64 (reply in 6602);161;192.168.1.105;;-55 dBm;-51 dBm
6602;344.237.827.874;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=621/27906, ttl=64 (request in 6601);172;192.168.1.105;;-54 dBm;-78 dBm
6603;344.238.364.156;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=621/27906, ttl=64;161;192.168.1.105;;-58 dBm;-78 dBm
6605;344.955.729.532;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=500/62465, ttl=64 (reply in 6606);161;;192.168.1.109;-51 dBm;-76 dBm
6606;344.959.251.789;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=500/62465, ttl=64 (request in 6605);161;;192.168.1.109;-49 dBm;-76 dBm
6613;345.233.569.435;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=622/28162, ttl=64 (no response found!);161;192.168.1.105;;-48 dBm;-74 dBm
6614;345.235.364.953;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=622/28162, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-53 dBm
6615;345.235.395.693;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=622/28162, ttl=64 (reply in 6616);161;192.168.1.105;;-50 dBm;-50 dBm
6616;345.237.943.691;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=622/28162, ttl=64 (request in 6615);161;192.168.1.105;;-49 dBm;-49 dBm
6617;345.889.176.526;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=501/62721, ttl=64 (reply in 6629);161;;192.168.1.109;-51 dBm;-50 dBm
6629;346.052.373.392;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=501/62721, ttl=64 (request in 6617);172;;192.168.1.109;-50 dBm;-78 dBm
6630;346.054.784.038;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=501/62721, ttl=64;161;;192.168.1.109;-48 dBm;-78 dBm
6631;346.054.815.605;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=501/62721, ttl=64;161;;192.168.1.109;-47 dBm;-78 dBm
6632;346.054.831.909;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=501/62721, ttl=64;161;;192.168.1.109;-50 dBm;-78 dBm
6633;346.054.847.618;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=501/62721, ttl=64;161;;192.168.1.109;-50 dBm;-76 dBm
6634;346.055.833.098;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=501/62721, ttl=64;161;;192.168.1.109;-51 dBm;-76 dBm
6635;346.235.092.059;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=623/28418, ttl=64 (no response found!);161;192.168.1.105;;-49 dBm;-76 dBm
6636;346.236.619.576;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=623/28418, ttl=64 (reply in 6637);161;192.168.1.105;;-51 dBm;-74 dBm
6637;346.241.325.376;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=623/28418, ttl=64 (request in 6636);172;192.168.1.105;;-52 dBm;-72 dBm
6638;346.243.200.460;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=623/28418, ttl=64;161;192.168.1.105;;-75 dBm;-49 dBm
6641;346.875.198.782;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=502/62977, ttl=64 (no response found!);161;;192.168.1.109;-50 dBm;-78 dBm
6643;346.875.258.723;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=502/62977, ttl=64 (no response found!);161;;192.168.1.109;-47 dBm;-51 dBm
6644;346.875.278.948;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=502/62977, ttl=64 (no response found!);161;;192.168.1.109;-50 dBm;-73 dBm
6645;346.875.295.490;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=502/62977, ttl=64 (no response found!);161;;192.168.1.109;-50 dBm;-55 dBm
6646;346.875.310.948;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=502/62977, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-78 dBm
6647;346.875.326.604;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=502/62977, ttl=64 (reply in 6648);161;;192.168.1.109;-57 dBm;-53 dBm
6648;346.877.185.542;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=502/62977, ttl=64 (request in 6647);172;;192.168.1.109;-58 dBm;-72 dBm
6649;346.879.222.990;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=502/62977, ttl=64;161;;192.168.1.109;-49 dBm;-51 dBm
6655;347.236.364.374;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=624/28674, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-51 dBm
6656;347.238.182.266;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=624/28674, ttl=64 (no response found!);161;192.168.1.105;;-77 dBm;-51 dBm
6657;347.238.213.757;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=624/28674, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-51 dBm
6658;347.241.228.322;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=624/28674, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-72 dBm
6659;347.241.259.946;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=624/28674, ttl=64 (no response found!);161;192.168.1.105;;-58 dBm;-49 dBm
6660;347.241.838.507;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=624/28674, ttl=64 (reply in 6661);161;192.168.1.105;;-52 dBm;-76 dBm
6661;347.248.364.844;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=624/28674, ttl=64 (request in 6660);172;192.168.1.105;;-77 dBm;-50 dBm
6662;347.250.328.323;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=624/28674, ttl=64;161;192.168.1.105;;-51 dBm;-72 dBm
6671;347.873.463.611;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=503/63233, ttl=64 (reply in 6672);161;;192.168.1.109;-57 dBm;-55 dBm
6672;347.879.665.958;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=503/63233, ttl=64 (request in 6671);172;;192.168.1.109;-52 dBm;-75 dBm
6673;347.881.458.080;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=503/63233, ttl=64;161;;192.168.1.109;-77 dBm;-52 dBm
6674;347.881.494.091;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=503/63233, ttl=64;161;;192.168.1.109;-51 dBm;-52 dBm
6675;347.881.510.678;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=503/63233, ttl=64;161;;192.168.1.109;-54 dBm;-72 dBm
6681;348.238.432.287;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=625/28930, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-52 dBm
6682;348.242.792.212;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=625/28930, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-52 dBm
6683;348.242.812.253;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=625/28930, ttl=64 (no response found!);161;192.168.1.105;;-77 dBm;-52 dBm
6684;348.242.827.754;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=625/28930, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-50 dBm
6685;348.242.843.245;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=625/28930, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-52 dBm
6686;348.242.858.889;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=625/28930, ttl=64 (no response found!);161;192.168.1.105;;-54 dBm;-76 dBm
6687;348.242.874.055;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=625/28930, ttl=64 (reply in 6688);161;192.168.1.105;;-51 dBm;-51 dBm
6688;348.246.530.139;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=625/28930, ttl=64 (request in 6687);172;192.168.1.105;;-77 dBm;-51 dBm
6689;348.248.532.037;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=625/28930, ttl=64;161;192.168.1.105;;-51 dBm;-52 dBm
6690;348.890.917.826;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=504/63489, ttl=64 (no response found!);161;;192.168.1.109;-57 dBm;-52 dBm
6691;348.898.962.478;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=504/63489, ttl=64 (reply in 6692);158;;192.168.1.109;-52 dBm;-73 dBm
6692;348.903.331.060;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64 (request in 6691);172;;192.168.1.109;-77 dBm;-52 dBm
6693;348.908.016.734;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-52 dBm;-48 dBm
6694;348.909.774.952;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-55 dBm;-50 dBm
6695;348.922.652.244;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-51 dBm;-51 dBm
6696;348.925.002.128;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-51 dBm;-50 dBm
6697;348.927.007.629;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-52 dBm;-77 dBm
6698;348.928.971.492;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-78 dBm;-74 dBm
6699;348.931.212.803;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-52 dBm;-50 dBm
6700;348.933.278.255;-49 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-54 dBm;-49 dBm
6701;348.934.797.326;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-51 dBm;-51 dBm
6702;348.937.077.569;-48 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=504/63489, ttl=64;158;;192.168.1.109;-76 dBm;-50 dBm
6714;349.242.309.603;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-52 dBm;-48 dBm
6715;349.247.230.101;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-54 dBm;-77 dBm
6716;349.249.377.823;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-57 dBm;-77 dBm
6717;349.277.387.525;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-54 dBm;-77 dBm
6718;349.285.705.013;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-58 dBm;-77 dBm
6719;349.293.645.317;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-50 dBm;-77 dBm
6720;349.302.005.571;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-48 dBm;-77 dBm
6721;349.323.918.723;-53 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-54 dBm;-74 dBm
6722;349.344.636.874;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-53 dBm;-52 dBm
6723;349.405.599.001;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);158;192.168.1.105;;-77 dBm;-49 dBm
6724;349.408.931.901;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-50 dBm
6725;349.412.149.204;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=626/29186, ttl=64 (reply in 6726);158;192.168.1.105;;-55 dBm;-50 dBm
6726;349.515.665.164;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=626/29186, ttl=64 (request in 6725);172;192.168.1.105;;-56 dBm;-50 dBm
6727;349.525.438.733;-48 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=626/29186, ttl=64;158;192.168.1.105;;-55 dBm;-76 dBm
6728;349.527.166.250;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=626/29186, ttl=64;158;192.168.1.105;;-52 dBm;-77 dBm
6729;349.528.877.490;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=626/29186, ttl=64;158;192.168.1.105;;-52 dBm;-76 dBm
6730;349.546.386.307;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=626/29186, ttl=64;172;192.168.1.105;;-77 dBm;-77 dBm
6732;349.879.673.945;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=505/63745, ttl=64 (reply in 6733);161;;192.168.1.109;-77 dBm;-72 dBm
6733;349.931.009.402;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=505/63745, ttl=64 (request in 6732);172;;192.168.1.109;-52 dBm;-51 dBm
6734;349.933.379.177;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=505/63745, ttl=64;161;;192.168.1.109;-52 dBm;-50 dBm
6742;350.906.550.769;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=506/64001, ttl=64 (reply in 6743);161;;192.168.1.109;-55 dBm;-51 dBm
6743;350.920.786.741;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=506/64001, ttl=64 (request in 6742);172;;192.168.1.109;-51 dBm;-50 dBm
6744;350.922.828.141;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=506/64001, ttl=64;161;;192.168.1.109;-78 dBm;-51 dBm
6746;351.304.347.818;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=627/29442, ttl=64 (no response found!);158;192.168.1.105;;-51 dBm;-76 dBm
6748;351.304.401.100;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=628/29698, ttl=64 (no response found!);158;192.168.1.105;;-51 dBm;-76 dBm
6749;351.418.093.873;;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=627/29442, ttl=64 (reply in 6751);162;192.168.1.105;;-55 dBm;-76 dBm
6750;351.418.135.748;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=628/29698, ttl=64 (reply in 6753);172;192.168.1.105;;-51 dBm;-76 dBm
6751;351.424.920.689;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=627/29442, ttl=64 (request in 6749);172;192.168.1.105;;-77 dBm;-76 dBm
6752;351.426.876.499;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=627/29442, ttl=64;161;192.168.1.105;;-52 dBm;-76 dBm
6753;351.426.963.415;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=628/29698, ttl=64 (request in 6750);172;192.168.1.105;;-56 dBm;-74 dBm
6754;351.429.162.215;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=628/29698, ttl=64;161;192.168.1.105;;-51 dBm;-49 dBm
6765;351.880.353.360;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=507/64257, ttl=64 (reply in 6766);161;;192.168.1.109;-77 dBm;-52 dBm
6766;351.887.966.479;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=507/64257, ttl=64 (request in 6765);161;;192.168.1.109;-52 dBm;-52 dBm
6776;352.262.101.455;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=629/29954, ttl=64 (no response found!);161;192.168.1.105;;-55 dBm;-49 dBm
6777;352.313.817.022;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=629/29954, ttl=64 (reply in 6778);161;192.168.1.105;;-52 dBm;-50 dBm
6778;352.317.818.856;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=629/29954, ttl=64 (request in 6777);161;192.168.1.105;;-77 dBm;-74 dBm
6779;352.883.459.043;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=508/64513, ttl=64 (no response found!);161;;192.168.1.109;-52 dBm;-77 dBm
6780;352.883.490.349;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=508/64513, ttl=64 (no response found!);161;;192.168.1.109;-56 dBm;-77 dBm
6781;352.883.506.750;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=508/64513, ttl=64 (no response found!);161;;192.168.1.109;-52 dBm;-76 dBm
6782;352.883.522.693;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=508/64513, ttl=64 (no response found!);161;;192.168.1.109;-78 dBm;-77 dBm
6783;352.883.540.923;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=508/64513, ttl=64 (reply in 6784);161;;192.168.1.109;-51 dBm;-76 dBm
6784;352.884.446.885;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=508/64513, ttl=64 (request in 6783);172;;192.168.1.109;-52 dBm;-74 dBm
6785;352.886.545.507;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=508/64513, ttl=64;161;;192.168.1.109;-53 dBm;-51 dBm
6793;353.264.585.286;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=630/30210, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-50 dBm
6794;353.363.882.995;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=630/30210, ttl=64 (reply in 6795);161;192.168.1.105;;-51 dBm;-50 dBm
6795;353.372.351.100;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=630/30210, ttl=64 (request in 6794);172;192.168.1.105;;-52 dBm;-50 dBm
6796;353.374.441.223;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=630/30210, ttl=64;161;192.168.1.105;;-55 dBm;-49 dBm
6803;353.979.625.642;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=509/64769, ttl=64 (reply in 6804);161;;192.168.1.109;-52 dBm;-76 dBm
6804;353.985.706.052;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=509/64769, ttl=64 (request in 6803);172;;192.168.1.109;-77 dBm;-76 dBm
6805;353.987.716.637;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=509/64769, ttl=64;161;;192.168.1.109;-52 dBm;-77 dBm
6806;354.265.642.007;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=631/30466, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-76 dBm
6807;354.374.702.623;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=631/30466, ttl=64 (reply in 6808);161;192.168.1.105;;-51 dBm;-76 dBm
6808;354.376.356.757;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=631/30466, ttl=64 (request in 6807);172;192.168.1.105;;-52 dBm;-77 dBm
6809;354.378.413.089;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=631/30466, ttl=64;161;192.168.1.105;;-52 dBm;-74 dBm
6813;354.903.833.664;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=510/65025, ttl=64 (no response found!);161;;192.168.1.109;-52 dBm;-51 dBm
6814;354.903.858.373;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=510/65025, ttl=64 (no response found!);161;;192.168.1.109;-50 dBm;-50 dBm
6815;354.903.877.439;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=510/65025, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-52 dBm
6816;354.903.893.489;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=510/65025, ttl=64 (no response found!);161;;192.168.1.109;-47 dBm;-50 dBm
6817;354.904.420.988;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=510/65025, ttl=64 (reply in 6818);161;;192.168.1.109;-52 dBm;-50 dBm
6818;354.924.288.340;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=510/65025, ttl=64 (request in 6817);172;;192.168.1.109;-56 dBm;-78 dBm
6819;354.926.084.707;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=510/65025, ttl=64;161;;192.168.1.109;-51 dBm;-75 dBm
6824;355.266.532.855;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=632/30722, ttl=64 (no response found!);161;192.168.1.105;;-78 dBm;-76 dBm
6825;355.268.207.299;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=632/30722, ttl=64 (reply in 6826);161;192.168.1.105;;-52 dBm;-75 dBm
6826;355.274.410.537;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=632/30722, ttl=64 (request in 6825);172;192.168.1.105;;-58 dBm;-75 dBm
6827;355.274.710.280;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=632/30722, ttl=64;172;192.168.1.105;;-51 dBm;-73 dBm
6828;355.276.713.769;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=632/30722, ttl=64;161;192.168.1.105;;-76 dBm;-49 dBm
6832;355.923.988.161;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=511/65281, ttl=64 (no response found!);161;;192.168.1.109;-52 dBm;-50 dBm
6833;355.924.013.027;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=511/65281, ttl=64 (no response found!);161;;192.168.1.109;-49 dBm;-51 dBm
6834;355.924.730.921;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=511/65281, ttl=64 (reply in 6842);161;;192.168.1.109;-48 dBm;-49 dBm
6842;356.060.383.278;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=511/65281, ttl=64 (request in 6834);172;;192.168.1.109;-51 dBm;-52 dBm
6843;356.062.121.303;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=511/65281, ttl=64;161;;192.168.1.109;-51 dBm;-79 dBm
